ncol,nrow,population,allroads,mainroads,secroads,industries,traffic_points
12.0,8.0,924.0,0.0,0.0,0.0,0.5,1.0
13.0,8.0,1660.0,0.0,0.0,0.0,0.5,0.0
14.0,8.0,48.0,0.0,0.0,0.0,0.0,0.0
15.0,8.0,74.0,0.0,0.0,0.0,0.0,0.0
16.0,8.0,515.0,0.4,0.0,0.0,0.0,0.0
17.0,8.0,5198.0,0.8,1.2,0.0,0.5,4.0
18.0,8.0,903.0,0.0,0.4,0.0,0.0,0.0
19.0,8.0,189.0,0.0,0.0,0.0,0.0,0.0
20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,8.0,700.0,0.1,1.3,0.0,0.0,0.0
22.0,8.0,499.0,2.1,0.0,0.0,0.0,0.0
23.0,8.0,3370.0,1.6,0.0,0.0,0.0,1.0
24.0,8.0,392.0,1.3,0.0,0.0,0.0,0.0
25.0,8.0,6344.0,0.2,0.1,0.0,0.0,0.0
26.0,8.0,1344.0,1.2,0.0,0.0,0.0,0.0
27.0,8.0,1981.0,0.9,0.6,0.0,0.0,0.0
28.0,8.0,494.0,0.5,0.0,0.0,0.0,0.0
29.0,8.0,409.0,0.0,0.0,0.0,0.0,0.0
30.0,8.0,1616.0,2.2,2.2,0.0,0.5,1.0
31.0,8.0,539.0,0.0,0.0,0.0,0.0,0.0
32.0,8.0,1223.0,0.0,0.0,0.0,0.0,1.0
33.0,8.0,31799.0,0.0,0.5,0.0,0.5,1.0
34.0,8.0,2036.0,0.0,0.0,0.0,0.0,0.0
35.0,8.0,2842.0,0.0,1.0,0.0,1.0,0.0
36.0,8.0,3134.0,1.0,1.2,0.0,1.0,1.0
37.0,8.0,9896.0,0.7,0.5,0.0,0.0,2.0
38.0,8.0,1278.0,0.0,0.0,0.0,1.0,0.0
39.0,8.0,385.0,0.0,0.0,0.0,1.0,0.0
40.0,8.0,372.0,0.0,0.0,0.0,1.0,0.0
41.0,8.0,75.0,0.0,0.0,0.0,1.0,0.0
42.0,8.0,201.0,0.5,0.0,0.0,0.0,0.0
43.0,8.0,936.0,0.9,1.0,0.0,0.0,1.0
44.0,8.0,603.0,0.0,1.1,0.0,0.0,1.0
45.0,8.0,408.0,0.0,0.0,0.0,0.0,0.0
46.0,8.0,133.0,0.0,0.0,0.0,0.0,1.0
47.0,8.0,163.0,0.0,0.0,0.0,0.0,2.0
